,SMILES,name
166,COC[C@H](O)CNc1ncc(Br)cn1,70590088
167,CN1CC[C@H](NC(=O)c2ccc(OCC3CC3)nc2)C1=O,78844855
168,Cn1cc(C[C@@H]2CC(=O)N(CC(C)(C)O)C2=O)cn1,78950634
169,CCCc1nnc(S)n1CC(=O)NC[C@H]1CCC[C@@H]1O,80984144
170,COC[C@]1(C)NC(=O)N(Cc2nc(C(C)C)no2)C1=O,75582848
171,Cn1ncnc1COc1ccc(S(N)(=O)=O)cc1,82164311
172,O=C1CC[C@H](C(=O)N2CCC(n3ccnc3)CC2)N1,82280297
173,CC(C)CNC(=O)[C@@H](C)N1CCN(C[C@@H]2CCOC2)CC1,84544288
174,Cc1cccc(C)c1OCC(=O)N1CCOC[C@@H]1C(=O)O,88374361
175,O=C(O)C[C@@H]1CN(C(=O)[C@H]2CCCOC2)CCO1,91292952
176,O=C(O)C[C@H]1CN(C(=O)/C=C/c2ccco2)CCO1,91293378
177,Cn1cc(C(=O)Nc2ccc3nn[nH]c3c2)ccc1=O,95415611
178,CCc1cccnc1C(=O)N1CCCN(C(N)=O)CC1,408049765
179,CC(C)(O)CC(=O)N1CCOC[C@@H]1[C@H]1CCC[C@@H]1O,408051799
180,CC(C)(C)n1cc(NC(=O)N[C@]2(CO)CCOC2)cn1,186246174
181,CC(C)n1cnc(S(=O)(=O)N[C@H]2C=C[C@H](C(=O)O)C2)c1,547941685
182,COC(=O)[C@@H]1[C@@H]2CCC[C@@H]2CN1C(=O)c1cn[nH]c1,190718631
183,O=C(O)c1ccc(N2CCO[C@@]3(CCOC3)C2)nn1,563205898
184,O=C(c1ccncc1F)N1CCOC[C@]12CCOC2,194415908
185,O=C1OCC[C@H]1N1CCC[C@H](Cn2cncn2)C1,69628523
186,CC[C@H](N)C(=O)N(C)[C@@H]1CCC[C@@H]1S(C)(=O)=O,195542467
187,O=C(O)[C@@H]1CN(C(=O)[C@@H]2COc3ccccc32)CCO1,70391057
188,CCc1ocnc1C(=O)N[C@@H](C(=O)O)C1CCOCC1,668308068
189,Cc1cc([C@H]2CCCN(CCCS(N)(=O)=O)C2)n[nH]1,89599046
190,C/C(=C\C(=O)N1CCC[C@@](O)(Cn2ccnn2)C1)C1CC1,794090969
191,Cc1nncn1CCN1CCC(N2CCCC2=O)CC1,1506400978
192,CN1CCC2(CC1)CCN(C(=O)c1nccn1C)C2,1506395747
193,CNC(=O)C[C@@H]1CCN(c2ncc(F)c(N(C)C)n2)C1,1506408325
194,O[C@H](CN(C[C@H]1CCOC1)C1CC1)Cn1cccn1,106107994
195,Cc1nonc1CC(=O)N1CCC[C@H]1C1(O)CC1,1857693256
196,CNCC(=O)N1C[C@@H](O)[C@H](Cc2ccc3ccccc3n2)C1,1704336253
197,CCc1nc(N)nc(N2CCC(C(N)=O)CC2)c1C,1704337166
198,CNC(=O)CC1CCN(C(=O)[C@H]2CCCN2C)CC1,408280591
199,Cc1nc(=NC[C@H]2CC3(CCNCC3)CO2)n(C)[nH]1,1704298665
200,CO[C@@]1(C(=O)O)CCN(C(=O)c2ccc(F)cn2)C1,630253184
201,C[C@@H](NC(=O)NCc1cnn(C)c1)c1cnn(C)c1,332341544
202,CCOC(=O)C1=CNc2nncn2[C@@]1(O)C(F)(F)F,12505655
203,COc1ccnc(NC2CCS(=O)(=O)CC2)n1,164482785
204,CO[C@@H]1[C@@H]2CCC[C@@H]2[C@H]1NC(=O)c1cc(O)n(C)n1,1857533080
205,C[C@H](CN(C)c1ncc2cn[nH]c2n1)N1CCOCC1,1857676699
206,Cn1ccnc1C(=O)N1CCO[C@@H]2C[C@H](CO)C[C@@H]21,1857720888
207,C[C@H]1CN2CCCC[C@@H]2CN1S(=O)(=O)c1ncc[nH]1,311581583
208,O=C1CCCN1C[C@@H](O)CN1CCC(c2ccn[nH]2)CC1,111686294
209,CN[C@@H](C)c1cn(CC(=O)N2CCOC[C@H]2C2CC2)nn1,641156266
210,O=C(O)C1=CC(c2ccc(F)cc2)=NS(=O)(=O)N1,12396119
211,COc1cnc(C(=O)N[C@@H]2CC(=O)N([C@H]3C[C@H]3C)C2)nc1,341211181
212,O=C(/C=C/c1ccccc1)N1CC[C@H](N2C(=O)CNC2=O)C1,585331506
213,C[C@@H](NC(N)=O)C(=O)OCCOc1ccc(F)cc1,6078666
214,NC(=O)[C@H]1CN(CC(=O)NC2CC2)c2ccccc2O1,9364656
215,CC(C)CN1NS(=O)(=O)c2ccccc2C1=O,9544670
216,CC(C)OCCn1cc(S(=O)(=O)N(C)C)ccc1=O,24719025
217,Cc1cc(CN(C)C(=O)c2ccn(C)c(=O)c2)no1,25138858
218,COCCNC(=O)NC[C@H]1COc2ccccc2O1,30984595
219,CCc1cc(C(=O)NCc2c[nH]nc2[C@@H]2CCNC2)n[nH]1,952851157
220,Cc1cc(NC(=O)NC[C@H]2C[C@@H]3COC[C@@H]3O2)on1,1875271361
